기간,미국서부,미국동부,유럽연합,중국,일본,베트남
2019-01,3225,3287,1942,746,1051,626
2019-02,3447,3428,1939,763,1242,684
2019-03,3448,3551,1894,720,1081,699
2019-04,3531,3572,1946,645,1001,656
2019-05,3751,3576,2025,690,1191,711
2019-06,3364,3371,2046,671,1124,701
2019-07,3488,3295,2011,617,1081,665
2019-08,3475,3410,2009,662,970,670
2019-09,3369,3424,1938,753,1185,702
2019-10,3381,3447,2001,660,1041,631
2019-11,2971,3264,1976,584,1086,583
2019-12,3147,3407,1986,626,983,700
2020-01,3135,3257,2003,659,1085,647
2020-02,3463,3407,2022,629,1067,811
2020-03,3141,3543,2071,613,1239,754
2020-04,3184,3516,2443,613,1291,622
2020-05,2990,3238,2124,581,1162,649
2020-06,3283,3283,2101,470,1385,592
2020-07,3882,3546,1896,478,957,642
2020-08,4077,3839,1837,490,1056,720
2020-09,4180,3989,1932,610,1030,750
2020-10,4267,3699,1862,535,877,588
2020-11,4268,4172,1981,522,1045,766
2020-12,4515,3917,2701,560,863,964
2021-01,4957,3901,3815,818,829,1138
2021-02,5405,4292,3877,829,979,1410
2021-03,5667,4649,4570,853,919,1379
2021-04,5699,4841,4448,902,1334,1213
2021-05,7911,7299,5231,931,1219,1527
2021-06,8426,7773,5337,934,1336,1256
2021-07,9734,8744,8352,1006,1306,1190
2021-08,10815,10611,9120,1102,1165,1229
2021-09,11654,13658,10066,998,1107,1590
2021-10,12168,12618,11096,900,1066,1415
2021-11,12445,11532,10841,1253,1155,1541
2021-12,15671,15202,10610,1386,1074,2214
2022-01,14106,13525,11994,1213,970,2074
2022-02,14253,13559,13096,1081,997,2105
2022-03,13338,15341,13182,1080,945,2131
2022-04,13628,15254,13114,1182,1046,2095
2022-05,14463,15186,13251,1134,1045,2229
2022-06,14084,15112,13599,1205,1065,2346
2022-07,13908,13652,12784,1150,1029,2423
2022-08,13864,12965,12356,1210,1046,2244
2022-09,12922,12413,11346,1196,1025,2294
2022-10,10589,10731,9853,1185,1070,2153
2022-11,8992,9202,7533,1233,1023,1982
2022-12,7818,7145,7367,1247,951,1949
2023-01,5102,5879,4113,949,901,1682
2023-02,4835,5427,3033,817,801,1403
2023-03,5049,4909,3059,826,858,1388
2023-04,4732,4806,2767,745,972,1238
2023-05,5026,4938,2887,684,931,1005
2023-06,4603,4740,2768,649,787,819
2023-07,4231,4546,2590,540,773,890
2023-08,4074,4577,2603,525,772,762
2023-09,4140,4612,2670,561,658,704
2023-10,4366,4471,2473,476,669,682
2023-11,4192,4439,2409,493,707,698
2023-12,4188,4594,2526,494,621,690
2024-01,4535,4818,4051,485,642,622
2024-02,5362,5369,4458,504,617,672
2024-03,4970,5147,4192,504,676,663
2024-04,5093,4943,3925,516,740,825
2024-05,5335,5218,4242,538,680,1000
2024-06,6021,6016,6135,573,727,1169